<Trait>	NC_BLUE	ES_BLUE	Overall_BLUE
4226	2.9473	2.0252	2.6481
4722	4.1869	2.4078	3.5521
33-16	3.9005	1.1907	2.9347
38-11	4.0154	2.0851	3.316
A188	5.5208	2.8999	3.9749
A214N	3.8873	1.3142	2.9739
A239	4.0037	2.7713	3.5963
A272	3.7296	NA	2.9843
A441-5	4.3893	1.1255	3.2459
A554	3.9472	2.3021	3.2386
A556	3.6868	2.1904	3.0939
A6	NA	0.5504	1.998
A619	4.2374	1.7901	3.4276
A632	3.3736	2.449	3.0087
A634	4.3428	2.438	3.5926
A635	3.697	2.1801	3.1515
A641	3.8356	1.2584	2.7448
A654	3.2273	2.4244	2.9067
A659	4.06	2.4835	3.4541
A661	NA	2.4413	3.2662
A679	3.7195	2.3345	3.1755
A680	3.625	1.7451	2.9334
A682	1.9071	1.829	1.9521
AB28A	3.4265	1.198	2.6586
B10	3.381	1.1796	2.6029
B103	3.8785	2.4179	3.435
B104	3.6758	1.9197	3.0486
B105	4.2285	2.3435	3.5364
B109	3.1358	2.0156	2.6934
B115	4.0268	NA	3.3981
B14A	4.1289	2.3795	3.5262
B164	4.0065	1.7362	3.1699
B2	3.9548	3.657	3.8015
B37	3.7103	2.2009	3.1643
B46	4.0996	2.764	3.6157
B52	4.4245	2.386	3.6363
B57	4.3213	1.4602	3.2105
B64	3.495	1.7609	2.8959
B68	4.4408	2.1168	3.5218
B73	3.8024	2.1939	3.1841
B73HTRHM	3.5125	1.9305	2.9429
B75	3.5217	1.9986	3.0543
B76	3.5484	2.3063	3.1209
B77	3.5352	1.2933	2.7235
B79	3.479	2.541	3.1683
B84	3.9693	1.646	3.2049
B97	3.3975	1.7403	2.822
C103	4.1602	1.802	3.2896
C123	3.68	3.0369	3.3915
C49A	4.3353	3.1466	3.8069
CH701-30	3.6373	1.8336	3.0681
CH9	3.6913	2.1532	3.1975
CI.7	4.1177	2.3445	3.498
CI187-2	3.9386	2.1089	3.2888
CI21E	3.92	2.8587	3.4626
CI28A	4.338	1.9679	3.531
CI31A	3.9414	1.0119	2.8534
CI3A	2.7634	1.1665	2.2013
CI64	4.2288	3.3187	3.9423
CI66	3.2144	3.3513	3.0078
CI90C	2.9768	0.7223	2.2382
CI91B	2.939	1.8764	2.7246
CM105	4.3873	2.9607	3.8118
CM174	NA	2.7203	3.513
CM37	NA	2.7604	3.5482
CM7	NA	3.4717	4.1303
CML10	NA	0.9216	2.4239
CML103	3.9851	1.7413	3.1891
CML108	3.6441	1.433	2.8827
CML11	3.4127	0.7232	2.4747
CML14	NA	NA	NA
CML154Q	4.0653	2.3864	3.5074
CML157Q	2.5764	1.0866	2.0837
CML158Q	4.0852	0.6741	2.79
CML218	3.591	1.0477	2.705
CML220	3.9242	1.4376	3.0954
CML228	3.2445	0.8576	2.3719
CML238	3.8342	1.3922	2.8906
CML247	3.6051	0.4692	2.2977
CML254	NA	NA	NA
CML258	NA	0.9222	2.5718
CML261	NA	NA	NA
CML264	NA	NA	NA
CML277	3.6687	NA	2.9904
CML281	NA	NA	NA
CML287	NA	NA	NA
CML311	3.3645	NA	2.7406
CML314	4.0638	1.3484	3.1989
CML321	2.383	1.0966	2.2749
CML322	3.6436	1.5119	2.9071
CML323	2.3186	1.1741	1.9211
CML328	2.7807	1.5364	2.3946
CML331	3.7461	1.5589	3.0583
CML332	3.323	1.3611	2.7035
CML333	3.1462	1.0491	2.4752
CML341	3.9916	2.4779	3.5663
CML38	3.3982	0	2.1395
CML45	NA	NA	NA
CML5	NA	NA	NA
CML52	1.6941	NA	0.9602
CML61	NA	NA	NA
CML69	2.2298	1.093	1.8748
CML77	4.2123	3.2551	3.8685
CML91	3.5766	1.0592	2.6542
CML92	3.8934	1.5855	3.1208
CMV3	NA	3.5618	4.3195
CO106	NA	3.5798	4.3595
CO125	NA	3.3949	4.249
CO255	NA	3.4245	4.1662
D940Y	3.4107	1.7367	2.9653
DE_2	3.9786	1.6762	3.1637
DE_3	NA	NA	NA
DE1	4.1856	2.1823	3.4223
DE811	3.5456	2.3566	3.1635
E2558W	3.8781	1.6424	3.0846
EP1	4.9825	2.9409	4.1391
F2834T	3.4221	1.2779	2.6256
F44	2.3409	1.344	2.2643
F6	3.5546	0.5189	2.5298
F7	NA	2.0799	2.8151
GA209	3.9987	1.2705	3.0656
GT112	3.2437	1.0713	2.5542
H105W	4.123	2.1796	3.432
H49	3.2972	1.4244	2.6663
H84	3.0411	1.3429	2.4281
H91	3.9096	2.5894	3.4667
H95	2.3428	1.2016	1.9136
