"genotype"	"height"
'G_001'	88.38161474
'G_002'	53.65196019
'G_003'	113.8736618
'G_004'	98.09301042
'G_005'	100.6479033
'G_006'	101.0586709
'G_007'	98.48931443
'G_008'	69.21765491
'G_009'	85.94472175
'G_010'	91.58632214
'G_011'	83.47533656
'G_012'	93.81443844
'G_013'	75.25855863
'G_014'	77.08142843
'G_015'	83.56685606
'G_016'	85.09367491
'G_017'	59.48385041
'G_018'	112.0938923
'G_019'	99.88805074
'G_020'	72.30967777
'G_021'	87.3731057
'G_022'	58.19098778
'G_023'	89.27844287
'G_024'	98.53976986
'G_025'	86.62059549
'G_026'	131.797698
'G_027'	118.337545
'G_028'	80.77197786
'G_029'	82.27037933
'G_030'	53.7637384
'G_031'	70.35944575
'G_032'	40.12792344
'G_033'	89.9565095
'G_034'	77.30276941
'G_035'	104.5080476
'G_036'	90.43699532
'G_037'	107.37639
'G_038'	86.61673604
'G_039'	83.05881625
'G_040'	111.6383674
'G_041'	100.4432497
'G_042'	118.3252098
'G_043'	94.3433242
'G_044'	74.34208596
'G_045'	94.38757403
'G_046'	87.22120245
'G_047'	106.3628514
'G_048'	96.20826191
'G_049'	123.7514897
'G_050'	84.62956693
'G_051'	72.89573312
'G_052'	124.7952476
'G_053'	84.12934563
'G_054'	54.7402748
'G_055'	136.7468531
'G_056'	52.66794879
'G_057'	86.81297933
'G_058'	105.643095
'G_059'	63.37935344
'G_060'	106.2176092
'G_061'	120.0774453
'G_062'	95.53082531
'G_063'	65.8429536
'G_064'	75.99022104
'G_065'	96.53311917
'G_066'	95.9213966
'G_067'	137.7310901
'G_068'	82.42640971
'G_069'	117.3331832
'G_070'	92.37580246
'G_071'	75.65430033
'G_072'	84.65362376
'G_073'	123.1267024
'G_074'	106.7440013
'G_075'	89.37167198
'G_076'	77.80318186
'G_077'	75.07763265
'G_078'	97.05335326
'G_079'	89.35392309
'G_080'	85.7720245
'G_081'	86.79651704
'G_082'	117.8478394
'G_083'	60.75555681
'G_084'	98.23990464
'G_085'	73.83947002
'G_086'	88.4047282
'G_087'	89.52624325
'G_088'	82.51110768
'G_089'	80.74205144
'G_090'	90.66190193
'G_091'	138.0232878
'G_092'	108.6730119
'G_093'	101.471092
'G_094'	76.62092359
'G_095'	55.66904746
'G_096'	66.88713166
'G_097'	70.27656625
'G_098'	109.5950719
'G_099'	97.59152002
'G_100'	125.2475895
'G_101'	96.02853686
'G_102'	116.9115407
'G_103'	82.99810754
'G_104'	148.9406197
'G_105'	93.87929032
'G_106'	68.18609052
'G_107'	76.34206467
'G_108'	93.42133114
'G_109'	83.72056518
'G_110'	52.86282405
'G_111'	75.88673989
'G_112'	68.62865449
'G_113'	75.11988007
'G_114'	155.2575388
'G_115'	54.71340638
'G_116'	51.423432
'G_117'	106.1799791
'G_118'	133.2201502
'G_119'	91.44847609
'G_120'	110.1839991
'G_121'	87.67222793
'G_122'	98.8833766
'G_123'	95.17463176
'G_124'	63.57972202
'G_125'	126.9696403
'G_126'	59.52793443
'G_127'	92.63318945
'G_128'	116.7845497
'G_129'	80.74672582
'G_130'	108.144086
'G_131'	76.44412177
'G_132'	59.35048016
'G_133'	118.1804113
'G_134'	111.1659753
'G_135'	61.93140998
'G_136'	102.1457596
'G_137'	90.24288565
'G_138'	113.0785452
'G_139'	119.5352721
'G_140'	105.9554004
'G_141'	112.7361536
'G_142'	53.50107845
'G_143'	98.75897171
'G_144'	88.53180927
'G_145'	56.60446586
'G_146'	89.04824067
'G_147'	50.40799166
'G_148'	112.4728289
'G_149'	80.3692745
'G_150'	50.12165812
'G_151'	65.95583215
'G_152'	69.93579893
'G_153'	101.8629343
'G_154'	56.97268131
'G_155'	112.9755567
'G_156'	111.8906834
'G_157'	137.80538
'G_158'	105.1146725
'G_159'	64.78322783
'G_160'	95.87418988
'G_161'	87.98818008
'G_162'	107.0839111
'G_163'	76.72565467
'G_164'	72.88998932
'G_165'	77.87871687
'G_166'	86.16330556
'G_167'	72.4554329
'G_168'	107.3602777
'G_169'	81.6273505
'G_170'	91.47198129
'G_171'	79.04351429
'G_172'	123.2743507
'G_173'	89.81211677
'G_174'	104.7814214
'G_175'	120.3290382
'G_176'	106.6862213
'G_177'	148.516704
'G_178'	78.37430469
'G_179'	66.48851588
'G_180'	110.767561
'G_181'	104.721966
'G_182'	61.50211563
'G_183'	75.56817319
'G_184'	87.38350581
'G_185'	64.27319241
'G_186'	85.36075047
'G_187'	82.91784221
'G_188'	109.3959402
'G_189'	68.15109728
'G_190'	98.27845766
'G_191'	68.94887719
'G_192'	111.4093392
'G_193'	84.81488643
'G_194'	120.3714344
'G_195'	99.92180054
'G_196'	103.4562404
'G_197'	69.08784302
'G_198'	56.66103125
'G_199'	73.07602942
'G_200'	93.0052511
