block	line	yield_g_m2
1	2	483.33
1	39	145.84
1	41	321.84
1	4	719.14
1	79	317.63
1	76	344.48
1	78	260.02
1	35	374.28
1	25	428.61
1	67	407.25
1	17	551.84
1	30	353.29
1	73	355.30
1	64	647.92
1	72	165.76
1	44	517.52
1	18	366.24
1	82	251.30
1	29	606.37
1	23	605.75
1	38	641.42
1	31	166.75
1	40	410.87
1	57	181.97
1	63	562.90
1	83	280.44
1	36	800.35
1	66	687.92
1	10	764.88
1	13	541.15
1	62	730.48
1	81	315.63
1	43	678.46
1	26	580.22
1	45	519.88
1	12	436.59
1	24	671.22
1	51	692.55
1	6	849.66
1	14	910.76
1	80	487.86
1	46	724.01
1	42	793.43
1	47	192.43
1	37	895.30
1	27	731.87
1	54	809.41
1	32	669.16
1	70	996.19
1	9	774.84
1	8	636.45
1	77	357.94
1	22	340.65
1	11	644.83
1	58	521.67
1	19	622.72
1	49	830.57
1	28	679.92
1	50	721.13
1	74	489.31
1	7	907.38
1	68	325.96
1	59	553.46
1	16	210.71
1	33	770.23
1	53	559.14
1	75	617.33
1	20	632.46
1	61	611.52
1	1	717.78
1	71	595.86
1	55	555.29
1	69	467.24
1	60	572.90
1	21	514.62
1	65	818.74
1	34	673.43
1	5	798.99
1	48	786.06
1	56	522.61
1	3	873.04
1	15	600.06
1	52	603.04
2	64	681.64
2	27	762.42
2	29	932.33
2	68	385.47
2	16	240.00
2	33	846.85
2	67	702.58
2	51	746.11
2	66	846.05
2	50	885.67
2	36	1054.70
2	80	478.12
2	17	959.25
2	26	639.39
2	63	755.90
2	74	551.41
2	56	435.62
2	81	303.72
2	43	836.82
2	79	439.17
2	14	934.72
2	32	836.95
2	70	904.90
2	41	538.00
2	31	226.12
2	71	569.61
2	65	713.43
2	7	820.08
2	58	435.34
2	69	378.89
2	34	639.11
2	11	516.84
2	44	873.18
2	49	823.25
2	54	859.36
2	72	258.59
2	9	587.07
2	23	817.51
2	48	645.10
2	59	634.58
2	78	260.26
2	61	472.44
2	45	575.76
2	18	265.37
2	19	423.76
2	35	554.69
2	6	755.05
2	40	568.31
2	8	299.92
2	1	591.19
2	10	756.63
2	42	552.53
2	46	627.25
2	37	552.70
2	60	284.72
2	38	540.68
2	13	475.10
2	24	463.22
2	39	212.66
